motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
FOXM1_1.motif	124	110	Not-Overlapped	NA	NA	0.489335403068732	NA	NA	NA	NA	NA	NA	NA	NA
FOXO1_1.motif	16	28	Not-Overlapped	NA	NA	0.349988235307438	NA	NA	NA	NA	NA	NA	NA	NA
FOXO1_3.motif	2	4	Not-Overlapped	NA	NA	0.275251164226162	NA	NA	NA	NA	NA	NA	NA	NA
FOXO3_1.motif	29	37	Not-Overlapped	NA	NA	0.382958141532051	NA	NA	NA	NA	NA	NA	NA	NA
FOXO3_3.motif	8	11	Not-Overlapped	NA	NA	0.293601241841239	NA	NA	NA	NA	NA	NA	NA	NA
FOXO4_1.motif	50	68	Not-Overlapped	NA	NA	0.694730000339371	NA	NA	NA	NA	NA	NA	NA	NA
FOXO4_3.motif	1	5	Not-Overlapped	NA	NA	0.276692269798026	NA	NA	NA	NA	NA	NA	NA	NA
FOXO6_1.motif	11	6	Not-Overlapped	NA	NA	0.278148544902227	NA	NA	NA	NA	NA	NA	NA	NA
FOXO6_2.motif	0	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
FOXP1_1.motif	60	81	Not-Overlapped	NA	NA	0.530038661994978	NA	NA	NA	NA	NA	NA	NA	NA
FOXP2_1.motif	116	147	Not-Overlapped	NA	NA	0.68792251875944	NA	NA	NA	NA	NA	NA	NA	NA
FOXP3_1.motif	172	204	Not-Overlapped	NA	NA	0.848563071843088	NA	NA	NA	NA	NA	NA	NA	NA
FOXP4_1.motif	100	118	Not-Overlapped	NA	NA	0.577363542530244	NA	NA	NA	NA	NA	NA	NA	NA
FOXP4_2.motif	737	928	Not-Overlapped	NA	NA	0.501321191233168	NA	NA	NA	NA	NA	NA	NA	NA
FOXQ1_1.motif	26	32	Not-Overlapped	NA	NA	0.36197413377687	NA	NA	NA	NA	NA	NA	NA	NA
FUBP1_1.motif	166	153	Not-Overlapped	NA	NA	0.236180579621748	NA	NA	NA	NA	NA	NA	NA	NA
GABPA_1.motif	15	7	Not-Overlapped	NA	NA	0.282610821023653	NA	NA	NA	NA	NA	NA	NA	NA
GATA1_1.motif	78	74	Not-Overlapped	NA	NA	0.47185913867342	NA	NA	NA	NA	NA	NA	NA	NA
GATA2_1.motif	0	4	Not-Overlapped	NA	NA	0.275251164226162	NA	NA	NA	NA	NA	NA	NA	NA
GATA3_2.motif	380	409	Not-Overlapped	NA	NA	0.626226289749925	NA	NA	NA	NA	NA	NA	NA	NA
GATA3_4.motif	34	28	Not-Overlapped	NA	NA	0.31271138184274	NA	NA	NA	NA	NA	NA	NA	NA
GATA4_1.motif	326	326	Not-Overlapped	NA	NA	0.432959210610464	NA	NA	NA	NA	NA	NA	NA	NA
GATA5_1.motif	28	32	Not-Overlapped	NA	NA	0.369567996723238	NA	NA	NA	NA	NA	NA	NA	NA
GATA6_1.motif	1503	1634	Not-Overlapped	NA	NA	0.860550328691463	NA	NA	NA	NA	NA	NA	NA	NA
GBX1_1.motif	1119	1071	Not-Overlapped	NA	NA	0.846598375617387	NA	NA	NA	NA	NA	NA	NA	NA
GBX2_1.motif	441	388	Not-Overlapped	NA	NA	0.998765901959133	NA	NA	NA	NA	NA	NA	NA	NA
GCM1_1.motif	5	5	Not-Overlapped	NA	NA	0.278148544902227	NA	NA	NA	NA	NA	NA	NA	NA
GCM2_1.motif	26	17	Not-Overlapped	NA	NA	0.307257113554785	NA	NA	NA	NA	NA	NA	NA	NA
GFI1_1.motif	188	174	Not-Overlapped	NA	NA	0.361712758231527	NA	NA	NA	NA	NA	NA	NA	NA
GFI1B_1.motif	28	55	Not-Overlapped	NA	NA	0.436762177945645	NA	NA	NA	NA	NA	NA	NA	NA
GLI1_1.motif	30	37	Not-Overlapped	NA	NA	0.372170588249458	NA	NA	NA	NA	NA	NA	NA	NA
GLI2_1.motif	6	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
GLI3_1.motif	3	4	Not-Overlapped	NA	NA	0.275251164226162	NA	NA	NA	NA	NA	NA	NA	NA
GLI4_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
GLIS1_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
GLIS2_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
GLIS3_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
GMEB1_1.motif	1559	1525	Not-Overlapped	NA	NA	0.999832302350449	NA	NA	NA	NA	NA	NA	NA	NA
GMEB2_1.motif	24	12	Not-Overlapped	NA	NA	0.800851726528544	NA	NA	NA	NA	NA	NA	NA	NA
GRHL1_2.motif	4	14	Not-Overlapped	NA	NA	0.281107571975655	NA	NA	NA	NA	NA	NA	NA	NA
GSC_1.motif	208	324	Not-Overlapped	NA	NA	0.998765901959133	NA	NA	NA	NA	NA	NA	NA	NA
GSC2_1.motif	208	324	Not-Overlapped	NA	NA	0.998765901959133	NA	NA	NA	NA	NA	NA	NA	NA
GSX1_1.motif	1551	1372	Not-Overlapped	NA	NA	0.999960691551816	NA	NA	NA	NA	NA	NA	NA	NA
GSX2_1.motif	1876	1706	Not-Overlapped	NA	NA	0.994254554735909	NA	NA	NA	NA	NA	NA	NA	NA
GTF3A_1.motif	3	7	Not-Overlapped	NA	NA	0.284130234039909	NA	NA	NA	NA	NA	NA	NA	NA
GTF3A_2.motif	300	373	Not-Overlapped	NA	NA	0.979155426536211	NA	NA	NA	NA	NA	NA	NA	NA
GZF1_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
HAND1_1.motif	112	109	Not-Overlapped	NA	NA	0.694730000339371	NA	NA	NA	NA	NA	NA	NA	NA
HAND2_1.Infer.motif	51	42	Not-Overlapped	NA	NA	0.377487310938736	NA	NA	NA	NA	NA	NA	NA	NA
HBP1_1.motif	155	107	Not-Overlapped	NA	NA	0.652740824494683	NA	NA	NA	NA	NA	NA	NA	NA
HES1_1.motif	17	13	Not-Overlapped	NA	NA	0.300273997337631	NA	NA	NA	NA	NA	NA	NA	NA
HES2_1.motif	129	154	Not-Overlapped	NA	NA	0.989249812376791	NA	NA	NA	NA	NA	NA	NA	NA
HES4_1.motif	19	28	Not-Overlapped	NA	NA	0.310871903126018	NA	NA	NA	NA	NA	NA	NA	NA
HES5_1.motif	6	12	Not-Overlapped	NA	NA	0.282610821023653	NA	NA	NA	NA	NA	NA	NA	NA
HES7_1.motif	5	10	Not-Overlapped	NA	NA	0.276692269798026	NA	NA	NA	NA	NA	NA	NA	NA
HESX1_1.motif	4	5	Not-Overlapped	NA	NA	0.275251164226162	NA	NA	NA	NA	NA	NA	NA	NA
HEY1_1.motif	9	30	Not-Overlapped	NA	NA	0.316456428331875	NA	NA	NA	NA	NA	NA	NA	NA
